sort_number,site,Genus_species,Family,growthform,height,Country,Site,lat,long,entered.by,alt,temp,isotherm,rain,LAI,NPP,hemisphere
25129,72,Pullea_perryana,Cunoniaceae,Tree,12,Fiji,ao,17.742,178.392,Laura,47,24.8,6.3,2770,4.51,1864,-1
25921,161,Retama_sphaerocarpa,Fabaceae - P,Shrub,1.68,Spain,NA,37.133,-2.367,Angela,648,15.3,3.8,355,2.79,991,1
30396,46,Themeda_triandra,Poaceae,Herb,0.7,South Africa,Zululand - ledube,28.234,32.017,Angela,289,20.5,5.8,926,3.35,525,-1
19298,63,Maesa_tongensis,Maesaceae,Shrub/Tree,4,Fiji,fulanga,19.133,-178.567,Laura,0,24.9,6,1831,4.5,1800,-1
11305,73,Eleusine_aegyptica,Poaceae,Herb,0.6,Fiji,ab,17.667,178.167,Laura,312,23.5,6.2,2814,4.26,1795,-1
17982,164,Lepechinia_calycina,Lamiaceae,Shrub,1.6,USA,Jasper Ridge - Chaparral,37.4,-122.233,Angela,150,13.8,5.5,598,1.51,223,1
19569,117,Maranthes_glabra,Chrysobalanaceae,Tree,32,Liberia,NA,5.5,-7.5,Nate,152,26,7.5,2110,4.51,1857,1
24893,189,Pseudotsuga_menziesii,Pinaceae,Tree,61,USA,Oregon,44,-122,Angela,1446,5,4.1,1427,2.07,478,1
3156,113,Aporusa_globifera,Phyllanthaceae,NA,14.8,Malaysia,NA,3,102.333,Angela,228,25.8,8.5,2012,4.51,2270,1
23821,40,Polygonum_lapathifolium,Polygonaceae,Herb,1,Australia,NA,30.517,145.133,Michelle,106,19.9,4.5,338,2.07,490,-1
10692,71,Diospyros_gillespiei,Ebenaceae,Tree,15,Fiji,abko,17.758,178.577,Laura,13,24.9,6.3,2767,4.51,1864,-1
15714,107,Hibiscus_tiliaceus,Malvaceae,Tree,7,Papua New Guinea,Motupore Island,9.5,147.267,Laura,30,26.8,7.6,1184,3.26,907,-1
20585,78,Myristica_macrantha,Myristicaceae,Tree,20,Fiji,abo,17.356,178.675,Laura,3,25,6.4,2664,4.51,1864,-1
32237,81,Weinmannia_richii,Cunoniaceae,Shrub/Tree,7,Fiji,abt,17.081,179.069,Laura,2,25.4,6.5,2494,4.26,1886,-1
16107,122,Hybanthus_prunifolius,Violaceae,Shrub,2.9,Panama,BCI,9.167,-79.85,Angela,94,26.3,7.3,2607,4.51,2146,1
